                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.527,                 8.0555,                 1.8532,                      0,                      0,                      0,                      0,                 2.0549,                    inf,                 1.6963,             0.00031438,             0.00031438,             0.00031438
                      2,                 2.0442,                 3.1547,                 1.4885,                0.45439,                0.63222,                0.54269,                0.24805,                 1.7259,                 19.704,                 1.8305,             0.00063668,             0.00063668,             0.00063668
                      3,                  2.171,                 2.2517,                 1.4961,                0.14128,                0.67495,                 0.3326,                0.17691,                  1.973,                 90.377,                 1.7946,             0.00095248,             0.00095248,             0.00095248
                      4,                  2.028,                 2.2436,                 1.4478,                0.02757,                0.33089,                0.02513,                0.00973,                 2.0997,                 256.48,                 1.9108,              0.0012618,              0.0012618,              0.0012618
                      5,                 2.0154,                  1.872,                 1.4898,                0.56186,                0.30928,                0.40947,                0.21668,                 1.9168,                 6.7407,                 1.7563,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.0204,                 1.8767,                 1.4507,                0.41448,                0.54903,                0.41282,                0.17325,                 2.3393,                 8.6039,                 2.0707,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.0867,                 1.7786,                 1.3951,                0.54439,                  0.784,                0.69341,                 0.3137,                 1.9107,                 2.6561,                 1.7353,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.8781,                 1.5395,                 1.4038,                0.81939,                0.77005,                0.82994,                0.37802,                  1.861,                 2.3501,                 1.6164,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7678,                 1.4464,                  1.328,                 0.7362,                0.80626,                 0.8313,                0.34778,                 1.9834,                 2.4362,                 1.7382,                0.00133,                0.00133,                0.00133
                     10,                 1.8843,                 1.3642,                 1.3511,                0.41407,                 0.6661,                0.50836,                0.24165,                 1.7643,                 1.9378,                 1.5369,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.8779,                 1.4403,                 1.4237,                0.85174,                0.58381,                0.76413,                0.37816,                 1.7826,                 1.8154,                  1.702,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7498,                 1.4336,                 1.3718,                  0.782,                0.78749,                0.85159,                 0.4122,                 1.5994,                 1.2313,                 1.4443,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.7618,                  1.299,                 1.3375,                0.72858,                0.71193,                0.78103,                0.36693,                 1.5402,                 1.2497,                 1.6729,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.6927,                 1.2105,                 1.2943,                0.79469,                 0.7494,                0.82735,                 0.4498,                 1.5648,                  1.088,                 1.4636,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.6938,                 1.1921,                 1.2628,                0.83157,                0.66637,                0.77626,                0.38945,                 1.4062,                0.98634,                 1.4855,              0.0012451,              0.0012451,              0.0012451
